x,y,z,Yaw (deg),Pitch (deg),Roll (deg)
6.123233995736766e-17,0.0,-1.0,0.0,-90.0,0.0
0.03489949670250108,0.0,-0.9993908270190958,0.0,-88.0,0.0
0.06975647374412525,0.0,-0.9975640502598243,0.0,-86.0,0.0
0.10452846326765347,0.0,-0.9945218953682734,0.0,-84.0,0.0
0.13917310096006547,0.0,-0.9902680687415704,0.0,-82.0,0.0
0.17364817766693044,0.0,-0.9848077530122081,0.0,-80.0,0.0
0.20791169081775945,0.0,-0.9781476007338056,0.0,-78.0,0.0
0.24192189559966767,0.0,-0.9702957262759965,0.0,-76.0,0.0
0.27563735581699916,0.0,-0.9612616959383189,0.0,-74.0,0.0
0.3090169943749475,0.0,-0.9510565162951536,0.0,-72.0,0.0
0.3420201433256689,0.0,-0.9396926207859084,0.0,-70.0,0.0
0.37460659341591196,0.0,-0.9271838545667874,0.0,-68.0,0.0
0.40673664307580026,0.0,-0.913545457642601,0.0,-66.0,0.0
0.43837114678907746,0.0,-0.898794046299167,0.0,-64.0,0.0
0.46947156278589086,0.0,-0.8829475928589269,0.0,-62.0,0.0
0.5000000000000001,0.0,-0.8660254037844386,0.0,-60.0,0.0
0.5299192642332049,0.0,-0.848048096156426,0.0,-58.0,0.0
0.5591929034707468,0.0,-0.8290375725550417,0.0,-56.0,0.0
0.5877852522924731,0.0,-0.8090169943749475,0.0,-54.0,0.0
0.6156614753256583,0.0,-0.788010753606722,0.0,-52.0,0.0
0.6427876096865394,0.0,-0.766044443118978,0.0,-50.0,0.0
0.6691306063588582,0.0,-0.7431448254773942,0.0,-48.0,0.0
0.6946583704589974,0.0,-0.7193398003386512,0.0,-46.0,0.0
0.7193398003386512,0.0,-0.6946583704589973,0.0,-44.0,0.0
0.7431448254773942,0.0,-0.6691306063588582,0.0,-42.0,0.0
0.7660444431189781,0.0,-0.6427876096865394,0.0,-40.0,0.0
0.7880107536067219,0.0,-0.6156614753256583,0.0,-38.0,0.0
0.8090169943749475,0.0,-0.5877852522924731,0.0,-36.0,0.0
0.8290375725550416,0.0,-0.5591929034707469,0.0,-34.0,0.0
0.848048096156426,0.0,-0.5299192642332049,0.0,-32.0,0.0
0.8660254037844387,0.0,-0.49999999999999994,0.0,-30.0,0.0
0.882947592858927,0.0,-0.4694715627858908,0.0,-28.0,0.0
0.898794046299167,0.0,-0.4383711467890774,0.0,-26.0,0.0
0.913545457642601,0.0,-0.40673664307580026,0.0,-24.0,0.0
0.9271838545667874,0.0,-0.374606593415912,0.0,-22.0,0.0
0.9396926207859084,0.0,-0.3420201433256687,0.0,-20.0,0.0
0.9510565162951536,0.0,-0.30901699437494745,0.0,-18.0,0.0
0.9612616959383189,0.0,-0.27563735581699916,0.0,-16.0,0.0
0.9702957262759965,0.0,-0.24192189559966773,0.0,-14.0,0.0
0.9781476007338057,0.0,-0.20791169081775934,0.0,-12.0,0.0
0.9848077530122081,0.0,-0.17364817766693036,0.0,-10.0,0.0
0.9902680687415704,0.0,-0.13917310096006544,0.0,-8.0,0.0
0.9945218953682734,0.0,-0.10452846326765348,0.0,-6.0,0.0
0.9975640502598243,0.0,-0.06975647374412532,0.0,-4.0,0.0
0.9993908270190958,0.0,-0.03489949670250097,0.0,-2.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
0.9993908270190958,0.0,0.03489949670250097,0.0,2.0,0.0
0.9975640502598243,0.0,0.06975647374412532,0.0,4.0,0.0
0.9945218953682734,0.0,0.10452846326765348,0.0,6.0,0.0
0.9902680687415704,0.0,0.13917310096006544,0.0,8.0,0.0
0.9848077530122081,0.0,0.17364817766693036,0.0,10.0,0.0
0.9781476007338057,0.0,0.20791169081775934,0.0,12.0,0.0
0.9702957262759965,0.0,0.24192189559966773,0.0,14.0,0.0
0.9612616959383189,0.0,0.27563735581699916,0.0,16.0,0.0
0.9510565162951536,0.0,0.30901699437494745,0.0,18.0,0.0
0.9396926207859084,0.0,0.3420201433256687,0.0,20.0,0.0
0.9271838545667874,0.0,0.374606593415912,0.0,22.0,0.0
